COUNTRY,Capitol,Center,CapitolDecimal,CenterDecimal,kmDistance,mileDistance,latPlotPoint,lonPlotPoint,Continent,capitalName,
Honduras,"14 06 N, 87 13 W","15 00 N, 86 30 W","14.1, -87.21666666666667","15.0, -86.5",126.3907109,78.53557433,-0.71667,-0.9,North America,Tegucigalpa,
Hungary,"47 30 N, 19 05 E","47 00 N, 20 00 E","47.5, 19.083333333333332","47.0, 20.0",88.78618867,55.1691993,-0.91667,0.5,Europe,Budapest,
Iceland,"64 09 N, 21 57 W","65 00 N, 18 00 W","64.15, -21.95","65.0, -18.0",210.9478155,131.0769417,-3.95,-0.85,Europe,Reykjavík,
India,"28 36 N, 77 12 E","20 00 N, 77 00 E","28.6, 77.2","20.0, 77.0",956.7907601,594.5224243,0.2,8.6,Asia,New Delhi,
Indonesia,"6 10 S, 106 49 E","5 00 S, 120 00 E","-6.166666666666667, 106.81666666666666","-5.0, 120.0",1465.124678,910.3865876,-13.18333,-1.16667,Asia,Jakarta,
Iran,"35 42 N, 51 25 E","32 00 N, 53 00 E","35.7, 51.416666666666664","32.0, 53.0",436.7476429,271.382499,-1.58333,3.7,Asia,Tehran,
Iraq,"33 20 N, 44 24 E","33 00 N, 44 00 E","33.333333333333336, 44.4","33.0, 44.0",52.55223576,32.65445687,0.4,0.33333,Asia,Baghdad,
Ireland,"53 19 N, 6 14 W","53 00 N, 8 00 W","53.31666666666667, -6.233333333333333","53.0, -8.0",122.9744579,76.41281238,1.76667,0.31667,Europe,Dublin,
Isle of Man,"54 09 N, 4 29 W","54 15 N, 4 30 W","54.15, -4.483333333333333","54.25, -4.5",11.1757195,6.944272588,0.01667,-0.1,Europe,Douglas,
Israel,"31 46 N, 35 14 E","31 30 N, 34 45 E","31.766666666666666, 35.233333333333334","31.5, 34.75",54.54339395,33.89170564,0.48333,0.26667,Asia,Jerusalem,
Italy,"41 54 N, 12 29 E","42 50 N, 12 50 E","41.9, 12.483333333333333","42.833333333333336, 12.833333333333334",107.7252788,66.93740848,-0.35,-0.93333,Europe,Rome,
Jamaica,"18 00 N, 76 48 W","18 15 N, 77 30 W","18.0, -76.8","18.25, -77.5",79.04971038,49.11923005,0.7,-0.25,North America,Kingston,
Japan,"35 41 N, 139 45 E","36 00 N, 138 00 E","35.68333333333333, 139.75","36.0, 138.0",161.673426,100.4592448,1.75,-0.31667,Asia,Tokyo,
Jersey,"49 11 N, 2 06 W","49 15 N, 2 10 W","49.18333333333333, -2.1","49.25, -2.1666666666666665",8.857106396,5.503552695,0.06667,-0.06667,Europe,St. Helier,
Jordan,"31 57 N, 35 56 E","31 00 N, 36 00 E","31.95, 35.93333333333333","31.0, 36.0",105.8574188,65.77677368,-0.06667,0.95,Asia,Amman,
Kazakhstan,"51 10 N, 71 25 E","48 00 N, 68 00 E","51.166666666666664, 71.41666666666667","48.0, 68.0",429.7486601,267.0335311,3.41667,3.16667,Asia,Astana,
Kenya,"1 17 S, 36 49 E","1 00 N, 38 00 E","-1.2833333333333332, 36.81666666666667","1.0, 38.0",286.0509322,177.7438713,-1.18333,-2.28333,Africa,Nairobi,
Kiribati,"1 21 N, 173 02 E","1 25 N, 173 00 E","1.35, 173.03333333333333","1.4166666666666667, 173.0",8.290098986,5.151230501,0.03333,-0.06667,Oceania,Tarawa,
Kosovo,"42 40 N, 21 10 E","42 35 N, 21 00 E","42.666666666666664, 21.166666666666668","42.583333333333336, 21.0",16.49183739,10.24755626,0.16667,0.08333,Europe,Pristina,
Kuwait,"29 22 N, 47 58 E","29 30 N, 45 45 E","29.366666666666667, 47.96666666666667","29.5, 45.75",215.2437637,133.7463211,2.21667,-0.13333,Asia,Kuwait City,
Kyrgyzstan,"42 52 N, 74 36 E","41 00 N, 75 00 E","42.86666666666667, 74.6","41.0, 75.0",210.2498335,130.6432356,-0.4,1.86667,Asia,Bishkek,
